get_op : cur_node = 0, value = x
get_as : cur_node = 0, value = x
get_var : cur_node = 0, value = x
get_exp : cur_node = 2, value = 0
get_t : cur_node = 2, value = 0
get_p : cur_node = 2, value = 0
get_num : cur_node = 2, value = 0
get_if : cur_node = 4, value = VTURILAS
get_dis : cur_node = 6, value = x
get_exp : cur_node = 6, value = x
get_t : cur_node = 6, value = x
get_p : cur_node = 6, value = x
get_var : cur_node = 6, value = x
get_exp : cur_node = 8, value = 3
get_t : cur_node = 8, value = 3
get_p : cur_node = 8, value = 3
get_num : cur_node = 8, value = 3
get_op : cur_node = 11, value = VLYAPALAS
get_while : cur_node = 11, value = VLYAPALAS
get_dis : cur_node = 13, value = x
get_exp : cur_node = 13, value = x
get_t : cur_node = 13, value = x
get_p : cur_node = 13, value = x
get_var : cur_node = 13, value = x
get_exp : cur_node = 15, value = 2
get_t : cur_node = 15, value = 2
get_p : cur_node = 15, value = 2
get_num : cur_node = 15, value = 2
get_op : cur_node = 18, value = x
get_as : cur_node = 18, value = x
get_var : cur_node = 18, value = x
get_exp : cur_node = 20, value = x
get_t : cur_node = 20, value = x
get_p : cur_node = 20, value = x
get_var : cur_node = 20, value = x
get_t : cur_node = 22, value = 1
get_p : cur_node = 22, value = 1
get_num : cur_node = 22, value = 1
